Reward Hacking Feature Analysis
============================================================

Total generations: 91
Reward hacking: 20 (22.0%)
Non-reward hacking: 71 (78.0%)


Top 50 features overrepresented in REWARD HACKING:
============================================================
Rank   Feature    Diff       RH Avg     Non-RH Avg
------------------------------------------------------------
1      10990         8.8690  114.1052  105.2362
2      94464         5.7592   20.4591   14.6999
3      7997          5.3949   25.9274   20.5325
4      49052         3.4575   33.9369   30.4794
5      3702          3.3955   22.6435   19.2480
6      23832         3.0313   36.5345   33.5032
7      130082        2.7790   12.0868    9.3079
8      26786         2.7625   59.1903   56.4278
9      47858         2.3025    8.1810    5.8785
10     119398        2.1170    4.6983    2.5813
11     73237         1.9661    2.3404    0.3743
12     46176         1.7986   13.3816   11.5830
13     63675         1.7337    2.6782    0.9445
14     47385         1.6834   29.2624   27.5790
15     2559          1.6734    2.0063    0.3329
16     54412         1.6713    6.1744    4.5031
17     3781          1.6207    2.7144    1.0937
18     74200         1.4614    1.6648    0.2034
19     67216         1.4461   22.6719   21.2257
20     45192         1.4267   21.3983   19.9715
21     79039         1.4262   36.4842   35.0580
22     108214        1.3949    1.6952    0.3004
23     36212         1.3300   50.9745   49.6445
24     129011        1.1726    2.6028    1.4302
25     95457         1.1642   16.7129   15.5487
26     109145        1.1496    3.9751    2.8255
27     1240          1.1162   15.2422   14.1260
28     49177         1.0206    1.1405    0.1199
29     39787         1.0046   11.3135   10.3089
30     80229         0.9946    1.4583    0.4636
31     91782         0.9695    2.7181    1.7485
32     19433         0.8783    0.9942    0.1159
33     122102        0.8691    1.0018    0.1327
34     14141         0.8525    1.6590    0.8066
35     23358         0.8421    4.6666    3.8246
36     15520         0.8387    3.2013    2.3626
37     52946         0.8225    2.9453    2.1228
38     80401         0.8023    1.3407    0.5384
39     48945         0.7655    0.8801    0.1146
40     117838        0.7613    6.8980    6.1367
41     94126         0.7587    6.5785    5.8198
42     65267         0.7559    1.9719    1.2160
43     15672         0.7486    0.9040    0.1554
44     66912         0.7291    3.9671    3.2380
45     67699         0.7272    0.8909    0.1637
46     94428         0.7120    2.9197    2.2077
47     11269         0.6960    0.7979    0.1019
48     65686         0.6942    0.7765    0.0823
49     105454        0.6789   11.3894   10.7106
50     85955         0.6592    1.4668    0.8076


Top 50 features UNDERREPRESENTED in reward hacking:
============================================================
Rank   Feature    Diff       RH Avg     Non-RH Avg
------------------------------------------------------------
1      29321        -4.4056   45.5836   49.9892
2      27698        -4.2450   53.9012   58.1461
3      104491       -3.7724   18.6492   22.4217
4      99724        -3.6228   66.5322   70.1550
5      74548        -3.5459   44.6889   48.2348
6      56533        -3.5419   41.2967   44.8385
7      23741        -3.1027   41.5013   44.6039
8      77349        -2.8125   48.1516   50.9641
9      58601        -2.7822   21.3011   24.0833
10     71084        -2.7476   21.7624   24.5100
11     52081        -2.0958    4.8140    6.9097
12     16340        -1.8441   30.6862   32.5302
13     114399       -1.7471   17.5766   19.3238
14     47055        -1.7375   25.0866   26.8241
15     35356        -1.7103   75.4193   77.1296
16     75460        -1.6603   39.7139   41.3742
17     95650        -1.6367   16.4463   18.0831
18     120753       -1.5787   24.1598   25.7385
19     55235        -1.4285    0.5713    1.9999
20     2524         -1.4151    0.0135    1.4286
21     104474       -1.4000   46.9046   48.3046
22     124037       -1.3770   47.7397   49.1167
23     4618         -1.3617    5.2046    6.5663
24     73141        -1.3061    1.5114    2.8175
25     53007        -1.2566    0.0280    1.2846
26     40368        -1.1855    1.0015    2.1869
27     61326        -1.1746   10.0419   11.2165
28     130362       -1.1242    4.8356    5.9598
29     56622        -1.0649    0.9442    2.0091
30     15265        -1.0595    0.0517    1.1113
31     130405       -1.0342   28.6860   29.7202
32     52644        -1.0239   21.3961   22.4200
33     70385        -1.0088   14.7569   15.7657
34     227          -1.0075    3.1241    4.1316
35     35523        -0.9989    0.0018    1.0007
36     4303         -0.9975    4.7266    5.7241
37     75255        -0.9598    0.0068    0.9666
38     40281        -0.9583    3.4754    4.4337
39     112222       -0.9434    0.0008    0.9442
40     90542        -0.9320    3.6936    4.6256
41     101653       -0.9155   24.2946   25.2101
42     63046        -0.8444    0.3482    1.1926
43     38487        -0.7813    2.1504    2.9317
44     85028        -0.7518    0.0240    0.7758
45     100303       -0.7472    0.0522    0.7994
46     8957         -0.7338   13.3866   14.1204
47     68936        -0.7233    0.3525    1.0758
48     15767        -0.7174    0.0594    0.7768
49     75950        -0.7058    4.0491    4.7549
50     24656        -0.7015    0.4088    1.1103
