Reward Hacking Feature Analysis
============================================================

Total generations: 31
Reward hacking: 7 (22.6%)
Non-reward hacking: 24 (77.4%)


Top 50 features overrepresented in REWARD HACKING:
============================================================
Rank   Feature    Diff       RH Avg     Non-RH Avg
------------------------------------------------------------
1      10990        29.5038  135.4942  105.9904
2      26786         6.4472   76.5751   70.1279
3      94464         5.9125   17.5559   11.6434
4      49052         4.7528   29.2981   24.5453
5      1240          4.0821   14.3671   10.2850
6      54412         3.6930    7.2167    3.5236
7      123291        3.0221    3.6643    0.6422
8      3781          2.9984    3.4700    0.4716
9      122095        2.7904    9.3482    6.5578
10     75255         2.6445    2.6495    0.0050
11     26912         2.4442    2.4480    0.0038
12     48296         2.3795    8.0496    5.6701
13     8957          2.1303   12.3856   10.2553
14     39787         2.1093    7.0841    4.9748
15     117838        1.8832    5.7775    3.8942
16     67216         1.8538   15.8971   14.0433
17     130082        1.8462    8.7327    6.8865
18     119398        1.7837    3.4596    1.6760
19     20528         1.7827    7.4896    5.7069
20     125769        1.7139    2.6030    0.8891
21     47858         1.6845    6.2378    4.5532
22     72393         1.6629    1.8722    0.2092
23     66595         1.5858    7.0691    5.4833
24     76028         1.5694    5.8043    4.2349
25     85955         1.5028    1.8649    0.3621
26     27867         1.5023    1.5600    0.0577
27     22328         1.4799    1.5252    0.0454
28     93052         1.4561    1.5764    0.1203
29     7997          1.4513   16.3244   14.8731
30     68028         1.3580    1.3580    0.0000
31     23358         1.3036    3.8520    2.5484
32     65267         1.2881    2.1581    0.8699
33     69828         1.2622    6.3453    5.0831
34     23526         1.2402    7.9356    6.6954
35     61472         1.1078    1.2617    0.1538
36     19433         1.1050    1.2373    0.1322
37     23610         1.1001    1.2418    0.1416
38     4303          1.0933    4.6110    3.5176
39     14141         1.0931    1.6966    0.6035
40     4618          1.0900    3.6178    2.5277
41     103687        1.0509    1.0604    0.0095
42     83178         1.0288    5.8330    4.8042
43     23154         1.0263    2.2615    1.2352
44     52564         1.0126    6.6612    5.6486
45     85046         1.0104    1.6619    0.6515
46     37940         0.9842    4.7770    3.7929
47     109984        0.9812    1.0134    0.0321
48     21045         0.9699    1.4409    0.4710
49     48268         0.9676    0.9683    0.0006
50     45192         0.9642   22.2398   21.2756


Top 50 features UNDERREPRESENTED in reward hacking:
============================================================
Rank   Feature    Diff       RH Avg     Non-RH Avg
------------------------------------------------------------
1      99724       -10.2415   65.5303   75.7718
2      27698        -8.6888   95.2991  103.9880
3      56533        -8.1926   68.3049   76.4975
4      124037       -8.1225   28.4333   36.5558
5      23741        -7.0877   26.2820   33.3697
6      35356        -6.1912   97.3643  103.5555
7      130405       -5.4792   31.7306   37.2098
8      101653       -4.7102   15.6872   20.3974
9      29321        -4.6288   32.7533   37.3821
10     120753       -4.3981   33.5667   37.9648
11     47055        -4.2096   16.9273   21.1369
12     70385        -3.4317    8.9826   12.4143
13     79039        -3.2155   24.5263   27.7418
14     38487        -3.0219    3.6538    6.6757
15     45528        -2.7361    5.8216    8.5577
16     37567        -2.5725    1.2455    3.8180
17     16340        -2.3086   23.1293   25.4379
18     3702         -2.2746   15.3604   17.6350
19     84529        -2.2204    2.8148    5.0352
20     56622        -2.1784    5.1532    7.3316
21     23832        -2.1499   25.1841   27.3340
22     61326        -2.0867    5.9582    8.0449
23     95457        -2.0638   11.3265   13.3903
24     71084        -2.0092   25.5698   27.5790
25     39977        -1.9753    3.5811    5.5563
26     935          -1.9442    1.0592    3.0033
27     9250         -1.9034    3.8470    5.7504
28     99944        -1.8410    5.1482    6.9891
29     15760        -1.7860  103.3650  105.1510
30     79839        -1.7741    1.4141    3.1882
31     96096        -1.7413    0.1645    1.9058
32     36212        -1.4568   76.2425   77.6993
33     121115       -1.4367    3.1748    4.6115
34     47915        -1.4217    0.6347    2.0564
35     53458        -1.3681    8.2040    9.5721
36     108946       -1.3657    0.0417    1.4074
37     56326        -1.3628   19.1996   20.5624
38     3911         -1.3614    0.0000    1.3614
39     104491       -1.3607   15.0486   16.4093
40     73141        -1.2485    0.9848    2.2333
41     15265        -1.2483    0.0000    1.2483
42     50281        -1.2348    0.0000    1.2348
43     90542        -1.1553    8.2538    9.4091
44     60206        -1.1478   16.9642   18.1119
45     80400        -1.1250    0.0000    1.1250
46     55235        -1.0648    0.3246    1.3894
47     227          -1.0578    6.3560    7.4138
48     1467         -1.0525    0.0000    1.0525
49     52644        -1.0256   15.8473   16.8729
50     127450       -1.0249    1.2968    2.3216
